Date,Resting heart rate,Breaths per minute (during sleep),HRV-status,DeepSleep,Restless moments,Duration (mins),Steps,Calories,Weight (in kilograms),Max HR,Run (kms),Ride (kms),Minutes intense exercise,AvgTemp_C,MinTemp_C,MaxTemp_C,Humidity_Max,Humidity_Avg,Humidity_Min,WindSpeed_Max,WindSpeed_Avg,WindSpeed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_mm,DayOfWeek,IsWeekend,HR_Recovery_Score,Temp_Comfort_Index,Humidity_Comfort_Index,Weather_Stability,HRV_HR_Ratio,Breathing_Sleep_Quality,BedTimeSin,BedTimeCos,WakeTimeSin,WakeTimeCos,SunsetSin,SunsetCos,SunriseSin,SunriseCos,MinutesAfterSunset,BedtimeCategory_Early,BedtimeCategory_Late,BedtimeCategory_On Time,Heat_Stress_Effort,Sleep_Fragmentation
2025-02-12,63,13,30,68,40,442,5936,3834,80.0,142,0.0,24.0,229,3.8,2.0,6.0,100.0,95.0,81.0,23.0,7.8,2.0,1019.5,1017.9,1017.5,0.3,2,0,37,19.66666666666667,16.0,79.96669439824437,0.4761904761904761,3.492307692307693,0.134850930273723,0.9908658973868822,0.8638355052043958,-0.5037739770455263,-0.9986295347545738,-0.052335956242944306,0.8638355052043958,-0.5037739770455263,403,False,True,False,1374.0,0.09049773755656108
2025-02-13,58,12,30,47,42,487,9763,2792,80.0,117,0.0,0.0,4,1.1,-2.0,3.0,100.0,83.3,70.0,22.0,14.3,2.0,1025.5,1022.3,1019.5,0.0,3,0,42,3.5,31.13333333333333,74.76114107175206,0.5172413793103449,4.966666666666667,0.06104853953485687,0.9981347984218669,0.7906895737438435,-0.6122172800344491,-0.9990482215818578,-0.04361938736533613,0.8681988144891423,-0.49621650367520825,384,False,True,False,12.0,0.08624229979466119
2025-02-14,62,13,30,65,47,448,7266,3303,80.0,140,0.0,8.0,86,0.2,-4.0,4.0,100.0,82.3,65.0,13.0,7.2,0.0,1029.5,1027.9,1025.5,0.0,4,0,38,0.3333333333333286,35.133333333333326,59.98333680410955,0.4838709677419355,3.423076923076923,0.18223552549214747,0.9832549075639546,0.816641555161679,-0.5771451900372335,-0.9992290362407229,-0.03925981575906901,0.8724960070727971,-0.48862124149695507,411,False,True,False,344.0,0.10491071428571429
2025-02-15,60,13,31,100,63,516,16238,3883,80.0,154,0.0,0.0,144,1.9,0.0,4.0,87.0,74.8,61.0,15.0,8.3,2.0,1028.5,1024.4,1022.5,0.0,5,1,40,9.833333333333345,51.46666666666667,79.99166840205477,0.5166666666666667,3.5999999999999996,-0.13485093027372372,0.9908658973868821,0.788010753606722,-0.6156614753256583,-0.9995335908367129,-0.030538513209822718,0.8767267557075078,-0.48098876891938747,336,False,False,True,576.0,0.12209302325581395
2025-02-16,64,15,28,52,14,255,13365,4072,80.0,198,1.21,0.0,97,0.5,-3.0,4.0,86.0,76.2,56.0,30.0,18.0,7.0,1025.5,1023.4,1021.5,0.0,6,1,36,2.5,54.53333333333333,65.0,0.4375,3.186666666666667,0.9483236552061994,-0.317304656405092,0.10018806161207594,-0.9949685182509117,-0.9997620270799091,-0.021814885034560836,0.8808907382053855,-0.4733196671848433,799,False,True,False,388.0,0.054901960784313725
2025-02-17,56,12,30,93,69,790,4767,2532,80.0,121,0.0,0.0,0,-1.5,-5.0,2.0,93.0,76.8,64.0,17.0,12.4,7.0,1026.5,1025.3,1023.5,0.0,0,0,44,-7.5,44.133333333333326,65.0,0.5357142857142857,4.358333333333333,-0.6122172800344494,0.7906895737438433,0.2798290140309923,-0.9600498543859286,-0.999914327574007,-0.013089595571344698,0.8849876374630419,-0.4656145203251114,212,True,False,False,0.0,0.08734177215189873
2025-02-18,55,12,31,64,59,558,6396,3493,80.0,151,0.0,14.7,136,-0.8,-4.0,3.0,74.0,64.0,48.0,24.0,18.1,13.0,1027.5,1025.6,1024.5,0.0,1,0,45,-3.0,76.0,64.95716906412954,0.5636363636363636,4.666666666666666,-0.2546019482055278,0.9670459389139431,0.816641555161679,-0.5771451900372335,-0.9999904807207345,-0.004363309284746483,0.8890171414857365,-0.45787391511695646,302,False,False,True,408.0,0.1057347670250896
2025-02-19,60,12,32,63,44,450,13084,3166,80.0,119,0.0,0.0,23,1.1,-2.0,5.0,69.0,57.8,42.0,24.0,19.6,15.0,1024.5,1021.8,1020.5,0.0,2,0,40,6.833333333333343,87.46666666666665,64.92389227218428,0.5333333333333333,4.8,-0.061048539534856866,0.9981347984218669,0.9288095528719242,-0.3705574375098361,-0.9999904807207345,0.004363309284747004,0.8929789434111371,-0.4500984410374348,345,False,False,True,115.0,0.09777777777777778
2025-02-20,60,12,32,54,42,472,6913,2836,80.6,126,0.0,12.54,55,6.3,1.0,11.0,100.0,86.5,70.0,26.0,18.2,13.0,1020.5,1019.0,1018.5,0.7,3,0,40,30.5,29.0,49.97000899460404,0.5333333333333333,4.916666666666667,-0.12619896913583012,0.992004949679715,0.90630778703665,-0.42261826174069933,-0.999914327574007,0.01308959557134433,0.8968727415326884,-0.44228869021900113,328,False,False,True,605.0,0.08898305084745763
2025-02-21,58,12,34,69,56,525,8492,3006,81.5,124,0.0,6.29,27,13.0,9.0,17.0,94.0,77.2,59.0,30.0,21.7,15.0,1019.5,1016.0,1012.5,1.0,4,0,42,65.0,46.53333333333333,60.0,0.5862068965517241,4.783333333333334,-0.21643961393810288,0.9762960071199334,0.8638355052043958,-0.5037739770455263,-0.9997620270799091,0.021814885034561356,0.9006982393225879,-0.43444525740441703,305,False,False,True,459.0,0.10666666666666667
