Date,Sleep score,Resting heart rate,Body Battery,Breaths per minute (during sleep),HRV-status,Deep sleep (mins),REM sleep (mins),Restless moments,Duration (mins),Bed-time,Wakeup-time,Steps,Calories,Weight (in kilograms),Max HR,Run (kms),Ride (kms),Minutes intense exercise,AvgTemp_C,MinTemp_C,MaxTemp_C,Sunrise,Sunset,Humidity_Max,Humidity_Avg,Humidity_Min,WindSpeed_Max,WindSpeed_Avg,WindSpeed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_mm
2025-04-02,88,55,61.0,12,31,104,174,46,579,11:19 PM,9:14 AM,10498,3654,82.9,140,0.0,18.45,142,11.6,6.0,17.0,07:12,20:16,76.0,58.7,39.0,33.0,22.4,13.0,1027.5,1024.7,1021.5,0.0
2025-04-01,94,55,59.0,13,30,78,139,55,523,12:01 AM,9:01 AM,9430,3241,82.9,130,0.0,12.4,104,8.7,4.0,14.0,07:14,20:14,100.0,71.3,38.0,28.0,17.3,7.0,1030.5,1028.5,1026.5,0.0
2025-03-31,66,58,54.0,13,29,94,119,53,558,12:58 AM,10:16 AM,9902,2849,82.9,141,0.0,8.02,42,8.5,5.0,12.0,07:16,20:13,87.0,72.3,51.0,22.0,16.2,9.0,1030.5,1027.1,1022.5,0.0
2025-03-30,78,63,67.0,13,30,32,115,63,597,2:13 AM,12:11 PM,10304,4038,82.9,137,0.0,0.0,129,8.0,8.0,8.0,07:19,20:11,81.0,74.8,71.0,31.0,30.0,28.0,1016.5,1016.0,1015.5,0.0
2025-03-29,25,63,8.0,13,29,22,0,28,186,4:53 AM,7:59 AM,23964,3605,83.0,130,0.0,0.0,3,6.8,1.0,11.0,06:21,19:09,100.0,82.3,66.0,26.0,14.1,2.0,1021.5,1018.9,1014.5,0.0
2025-03-28,48,63,35.0,13,31,64,41,54,462,1:03 AM,8:59 AM,16839,3855,83.0,159,2.02,0.0,78,7.3,3.0,11.0,06:23,19:07,100.0,88.5,71.0,28.0,14.8,6.0,1015.5,1012.5,1010.5,0.0
2025-03-27,42,57,25.0,13,31,85,19,33,323,2:06 AM,7:44 AM,8907,3162,83.0,118,0.0,0.0,14,8.0,1.0,15.0,06:26,19:06,100.0,78.6,51.0,13.0,7.8,0.0,1024.5,1021.0,1016.5,0.0
2025-03-26,44,61,31.0,13,31,51,24,42,378,12:58 AM,7:39 AM,7703,3456,82.6,135,0.0,19.69,107,8.3,4.0,12.0,06:28,19:04,100.0,82.7,67.0,19.0,10.7,0.0,1025.5,1024.5,1022.5,0.0
2025-03-25,70,58,44.0,12,33,59,43,42,399,1:42 AM,9:01 AM,11169,3434,82.2,159,3.0,15.0,128,8.1,5.0,11.0,06:30,19:02,100.0,84.1,71.0,22.0,14.8,9.0,1022.5,1020.6,1019.5,0.0
2025-03-24,89,54,87.0,13,33,98,122,70,688,9:55 PM,9:31 AM,7557,3210,82.0,139,0.0,20.07,128,8.7,6.0,13.0,06:33,19:00,100.0,86.2,67.0,22.0,13.7,6.0,1020.5,1015.2,1009.5,0.0
2025-03-23,44,63,25.0,13,31,28,51,48,365,5:47 AM,12:36 PM,14119,3856,81.7,148,0.0,15.25,129,13.5,10.0,17.0,06:35,18:59,82.0,69.4,55.0,19.0,13.0,6.0,1009.5,1003.9,1000.5,0.0
2025-03-22,73,60,63.0,13,33,85,38,56,416,1:45 AM,8:57 AM,7240,2798,82.3,120,0.0,0.0,0,15.2,13.0,18.0,06:38,18:57,67.0,52.1,45.0,26.0,18.7,13.0,1006.5,1003.8,1001.5,0.0
2025-03-21,42,63,27.0,13,32,43,7,47,413,1:23 AM,8:31 AM,9011,2895,82.3,123,0.0,0.0,7,14.3,6.0,21.0,06:40,18:55,81.0,56.5,35.0,31.0,19.7,7.0,1019.5,1013.0,1007.5,0.0
2025-03-20,51,63,34.0,13,32,107,59,40,463,2:10 AM,10:16 AM,6381,3990,82.5,136,0.0,31.04,176,10.4,2.0,18.0,06:42,18:53,93.0,64.4,37.0,17.0,7.1,0.0,1022.5,1021.4,1019.5,0.0
2025-03-19,83,58,61.0,12,33,63,99,58,534,10:40 PM,7:41 AM,7365,2547,82.8,127,0.0,0.0,5,8.0,0.0,16.0,06:45,18:52,76.0,52.8,38.0,19.0,10.8,2.0,1025.5,1023.8,1022.5,0.0
2025-03-18,72,58,67.0,12,34,53,107,72,568,11:11 PM,9:31 AM,6214,3458,83.0,154,0.0,15.33,112,5.8,0.0,11.0,06:47,18:50,60.0,41.3,26.0,24.0,18.5,11.0,1030.5,1028.3,1025.5,0.0
2025-03-17,50,62,35.0,12,32,60,27,53,389,2:10 AM,9:45 AM,8305,2897,83.0,136,0.0,0.0,8,6.3,3.0,10.0,06:49,18:48,81.0,60.0,40.0,26.0,17.5,9.0,1031.5,1029.0,1026.5,0.0
2025-03-16,75,59,55.0,13,33,50,64,46,525,12:01 AM,9:16 AM,7566,2956,83.0,151,0.0,0.0,66,4.7,0.0,9.0,06:52,18:46,93.0,76.6,53.0,22.0,13.8,7.0,1026.5,1023.8,1022.5,0.0
2025-03-15,74,56,59.0,12,33,61,58,61,435,12:16 AM,8:07 AM,15139,2847,82.7,130,0.0,0.0,24,3.9,1.0,7.0,06:54,18:45,87.0,67.1,49.0,28.0,19.7,11.0,1022.5,1020.6,1017.5,0.0
2025-03-14,44,63,32.0,13,33,79,23,51,439,1:41 AM,9:42 AM,13385,2860,82.5,123,0.0,0.0,31,3.3,0.0,7.0,06:56,18:43,93.0,71.5,49.0,24.0,13.6,4.0,1017.5,1010.1,1004.5,0.0
2025-03-13,81,55,51.0,12,33,105,102,35,430,12:27 AM,8:00 AM,8682,3017,82.2,149,0.0,4.94,80,3.3,0.0,7.0,06:59,18:41,100.0,84.3,57.0,20.0,9.2,2.0,1004.5,1001.0,998.5,0.0
2025-03-12,88,57,73.0,12,32,66,154,69,562,11:00 PM,8:37 AM,7226,2910,81.0,124,0.0,0.0,9,4.3,1.0,8.0,07:01,18:39,100.0,83.2,61.0,22.0,11.8,0.0,1002.5,1000.7,999.5,0.0
2025-03-11,73,59,29.0,13,30,52,96,38,391,3:29 AM,10:09 AM,5757,3284,81.7,135,0.0,19.8,130,5.4,2.0,8.0,07:03,18:38,100.0,80.5,57.0,28.0,15.8,7.0,1004.5,1004.0,1002.5,0.0
2025-03-10,62,61,34.0,13,31,63,24,45,363,1:39 AM,7:51 AM,11049,3822,82.3,140,0.0,15.12,127,9.1,4.0,15.0,07:05,18:36,93.0,70.1,42.0,17.0,10.3,0.0,1004.5,1002.8,1001.5,0.0
2025-03-09,73,58,51.0,13,34,67,85,46,481,1:04 AM,7:34 AM,7389,2744,83.0,123,0.0,0.0,13,10.8,4.0,18.0,07:08,18:34,81.0,61.2,42.0,17.0,10.3,6.0,1009.5,1006.0,1003.5,0.0
2025-03-08,75,57,55.0,13,30,48,69,47,401,12:30 AM,7:18 AM,8615,3050,82.5,144,0.0,19.05,102,12.2,5.0,19.0,07:10,18:32,76.0,52.6,24.0,22.0,14.3,7.0,1015.5,1012.7,1009.5,0.0
2025-03-07,78,63,39.0,12,30,74,83,47,555,1:14 AM,10:31 AM,6631,2919,82.3,125,0.0,14.03,48,10.3,4.0,18.0,07:12,18:30,87.0,66.8,45.0,17.0,11.4,6.0,1016.5,1015.8,1015.5,0.0
2025-03-06,43,62,30.0,13,32,67,21,36,331,2:14 AM,7:46 AM,13284,3788,82.0,159,0.0,0.0,101,8.3,1.0,17.0,07:15,18:29,93.0,69.7,45.0,19.0,11.2,6.0,1020.5,1017.2,1015.5,0.0
2025-03-05,50,63,43.0,12,33,45,105,43,453,2:18 AM,9:57 AM,9070,2846,81.8,119,0.0,0.0,3,6.3,0.0,14.0,07:17,18:27,93.0,73.3,44.0,22.0,12.0,4.0,1025.5,1022.8,1020.5,0.0
2025-03-04,77,61,58.0,13,34,48,55,53,468,1:19 AM,9:19 AM,9047,3393,82.5,169,3.0,15.75,123,3.8,-3.0,12.0,07:19,18:25,100.0,81.3,54.0,15.0,6.9,0.0,1028.5,1026.6,1024.5,0.0
2025-03-03,39,62,24.0,14,34,79,0,41,351,1:32 AM,7:38 AM,15141,3319,82.3,124,0.0,0.0,49,2.9,-4.0,10.0,07:21,18:23,100.0,84.4,54.0,9.0,4.7,0.0,1031.5,1029.8,1028.5,0.0
2025-03-02,46,62,28.0,13,35,50,33,40,436,1:44 AM,9:25 AM,13015,3679,82.1,126,0.0,0.0,81,3.0,-3.0,10.0,07:24,18:21,100.0,85.5,54.0,11.0,4.0,0.0,1036.5,1034.9,1031.5,0.0
2025-03-01,88,58,66.0,13,37,99,98,53,496,12:02 AM,8:26 AM,13577,3229,81.9,120,0.0,0.0,30,4.0,0.0,8.0,07:26,18:19,100.0,83.4,62.0,17.0,8.7,2.0,1036.5,1033.7,1030.5,0.0
2025-02-28,72,57,63.0,12,37,56,64,42,391,12:51 AM,7:38 AM,12511,2777,81.7,113,0.0,0.0,0,5.4,1.0,8.0,07:28,18:18,100.0,83.7,66.0,22.0,13.8,6.0,1030.5,1026.4,1020.5,0.0
2025-02-27,79,58,55.0,12,37,65,90,39,411,12:28 AM,7:23 AM,9551,3242,81.5,131,0.0,14.87,87,6.0,5.0,8.0,07:30,18:16,100.0,89.8,81.0,26.0,15.8,2.0,1020.5,1014.3,1010.5,1.6
2025-02-26,76,61,39.0,12,36,61,88,41,515,11:21 PM,8:09 AM,8363,2748,81.5,128,0.0,0.0,5,7.0,2.0,11.0,07:32,18:14,100.0,82.1,54.0,31.0,15.8,0.0,1016.5,1014.3,1010.5,3.4
2025-02-25,80,59,47.0,13,37,50,89,57,458,11:52 PM,7:31 AM,11276,3579,81.5,168,5.0,15.93,167,8.1,6.0,11.0,07:35,18:12,100.0,92.0,76.0,19.0,12.7,4.0,1014.5,1013.4,1012.5,0.0
2025-02-24,81,57,49.0,12,38,57,80,48,515,10:50 PM,7:30 AM,10462,3452,81.5,169,0.0,14.13,113,10.4,9.0,12.0,07:37,18:10,100.0,83.3,67.0,33.0,27.6,19.0,1020.5,1014.8,1012.5,5.2
2025-02-23,76,58,60.0,12,38,45,91,58,492,11:45 PM,8:31 AM,8072,2845,81.5,129,0.0,6.29,38,9.6,5.0,14.0,07:39,18:08,100.0,83.6,62.0,31.0,20.8,11.0,1027.5,1024.3,1020.5,0.0
2025-02-22,78,59,50.0,12,34,65,62,42,473,11:30 PM,7:32 AM,11242,2971,81.5,159,0.0,0.0,58,10.0,6.0,13.0,07:41,18:07,100.0,90.9,72.0,26.0,19.0,13.0,1022.5,1013.9,1010.5,1.9
2025-02-21,85,58,59.0,12,34,69,99,56,525,11:10 PM,8:01 AM,8492,3006,81.5,124,0.0,6.29,27,13.0,9.0,17.0,07:43,18:05,94.0,77.2,59.0,30.0,21.7,15.0,1019.5,1016.0,1012.5,1.0
2025-02-20,80,60,56.0,12,32,54,63,42,472,11:31 PM,7:40 AM,6913,2836,80.6,126,0.0,12.54,55,6.3,1.0,11.0,07:45,18:03,100.0,86.5,70.0,26.0,18.2,13.0,1020.5,1019.0,1018.5,0.7
2025-02-19,78,60,44.0,12,32,63,92,44,450,11:46 PM,7:27 AM,13084,3166,80.0,119,0.0,0.0,23,1.1,-2.0,5.0,07:47,18:01,69.0,57.8,42.0,24.0,19.6,15.0,1024.5,1021.8,1020.5,0.0
2025-02-18,86,55,57.0,12,31,64,116,59,558,11:01 PM,8:21 AM,6396,3493,80.0,151,0.0,14.7,136,-0.8,-4.0,3.0,07:49,17:59,74.0,64.0,48.0,24.0,18.1,13.0,1027.5,1025.6,1024.5,0.0
2025-02-17,85,56,85.0,12,30,93,231,69,790,9:29 PM,10:55 AM,4767,2532,80.0,121,0.0,0.0,0,-1.5,-5.0,2.0,07:51,17:57,93.0,76.8,64.0,17.0,12.4,7.0,1026.5,1025.3,1023.5,0.0
2025-02-16,34,64,7.0,15,28,52,5,14,255,7:14 AM,11:37 AM,13365,4072,80.0,198,1.21,0.0,97,0.5,-3.0,4.0,07:53,17:55,86.0,76.2,56.0,30.0,18.0,7.0,1025.5,1023.4,1021.5,0.0
2025-02-15,66,60,53.0,13,31,100,76,63,516,11:29 PM,8:32 AM,16238,3883,80.0,154,0.0,0.0,144,1.9,0.0,4.0,07:55,17:53,87.0,74.8,61.0,15.0,8.3,2.0,1028.5,1024.4,1022.5,0.0
2025-02-14,49,62,37.0,13,30,65,68,47,448,12:42 AM,8:21 AM,7266,3303,80.0,140,0.0,8.0,86,0.2,-4.0,4.0,07:57,17:51,100.0,82.3,65.0,13.0,7.2,0.0,1029.5,1027.9,1025.5,0.0
2025-02-13,83,58,70.0,12,30,47,72,42,487,12:14 AM,8:31 AM,9763,2792,80.0,117,0.0,0.0,4,1.1,-2.0,3.0,07:59,17:50,100.0,83.3,70.0,22.0,14.3,2.0,1025.5,1022.3,1019.5,0.0
2025-02-12,46,63,29.0,13,30,68,26,40,442,12:31 AM,8:01 AM,5936,3834,80.0,142,0.0,24.0,229,3.8,2.0,6.0,08:01,17:48,100.0,95.0,81.0,23.0,7.8,2.0,1019.5,1017.9,1017.5,0.3
2025-02-11,84,59,64.0,13,31,71,67,49,464,11:00 PM,6:48 AM,9062,4290,80.0,159,0.0,17.76,287,2.6,2.0,4.0,08:03,17:46,100.0,93.7,87.0,26.0,18.1,9.0,1018.5,1017.4,1015.5,6.5
2025-02-10,47,60,30.0,13,30,40,39,43,429,11:36 PM,7:01 AM,6278,3406,80.0,141,0.0,15.39,110,2.3,2.0,3.0,08:05,17:44,87.0,81.6,75.0,33.0,27.8,24.0,1030.5,1025.3,1018.5,6.6
2025-02-09,78,61,50.0,13,31,59,75,44,452,11:45 PM,7:20 AM,8455,4720,80.0,149,0.0,18.3,339,3.9,2.0,5.0,08:07,17:42,87.0,81.4,75.0,22.0,13.7,4.0,1030.5,1028.5,1025.5,0.0
2025-02-08,59,62,36.0,13,30,64,110,54,509,11:16 PM,7:50 AM,12840,2996,80.0,168,2.5,0.0,41,4.0,2.0,7.0,08:09,17:40,81.0,77.1,70.0,26.0,15.2,4.0,1025.5,1021.7,1019.5,0.0
2025-02-07,83,58,56.0,12,30,71,87,45,518,10:08 PM,6:54 AM,10736,3451,80.0,158,0.0,0.0,97,3.2,2.0,4.0,08:11,17:38,93.0,77.2,70.0,35.0,28.3,19.0,1038.5,1029.8,1022.5,0.0
2025-02-06,79,59,49.0,12,29,71,87,52,466,10:57 PM,6:59 AM,12860,3064,80.0,127,0.0,4.15,76,3.9,0.0,7.0,08:12,17:36,100.0,90.9,76.0,24.0,12.7,0.0,1044.5,1042.2,1038.5,0.0
